family_income,one_children,two_children,three_children,four_children,five_children
55000,2782,5564,8346,11128,13910
60000,2589,5371,8153,10935,13717
70000,2189,4971,7753,10535,13317
80000,1789,4571,7353,10135,12917
90000,1389,4171,6953,9735,12517
98000,1107,3851,6633,9415,12197
100000,1107,3771,6553,9335,12117
110000,1107,3371,6153,8935,11717
120000,1107,2971,5753,8535,11317
130000,1107,2571,5353,8135,10917
139000,1107,2214,4993,7775,10557
150000,1107,2214,4553,7335,10117
160000,1107,2214,4153,6935,9717
170000,1107,2214,3753,6535,9317
181000,1107,2214,3321,6095,8877
190000,1107,2214,3321,5735,8517
200000,1107,2214,3321,5335,8117
210000,1107,2214,3321,4935,7717
220000,1107,2214,3321,4535,7317
223000,1107,2214,3321,4428,7197
230000,1107,2214,3321,4428,6917
240000,1107,2214,3321,4428,6517
250000,1107,2214,3321,4428,6117